id,name,latitude,longitude,borough,neighborhood,neighborhood_id,borough_id
513.0,W 56 St & 10 Ave,40.768254,-73.988639,Manhattan,Clinton,MN15,1.0
521.0,8 Ave & W 31 St,40.75096734871598,-73.99444207549095,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
377.0,6 Ave & Canal St,40.72243797,-74.00566443,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
362.0,Broadway & W 37 St,40.75172632,-73.98753523,Manhattan,Midtown-Midtown South,MN17,1.0
3238.0,E 80 St & 2 Ave,40.77391390238118,-73.9543953537941,Manhattan,Yorkville,MN32,1.0
160.0,E 37 St & Lexington Ave,40.748238,-73.978311,Manhattan,Murray Hill-Kips Bay,MN20,1.0
295.0,Pike St & E Broadway,40.71406667,-73.99293911,Manhattan,Chinatown,MN27,1.0
251.0,Mott St & Prince St,40.72317958,-73.99480012,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
364.0,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,Brooklyn,Clinton Hill,BK69,3.0
258.0,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,Brooklyn,Clinton Hill,BK69,3.0
526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,Manhattan,Midtown-Midtown South,MN17,1.0
540.0,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,Manhattan,Murray Hill-Kips Bay,MN20,1.0
3170.0,W 84 St & Columbus Ave,40.78499979,-73.97283406,Manhattan,Upper West Side,MN12,1.0
400.0,Pitt St & Stanton St,40.71926081,-73.98178024,Manhattan,Lower East Side,MN28,1.0
361.0,Allen St & Hester St,40.71605866,-73.99190759,Manhattan,Chinatown,MN27,1.0
300.0,Shevchenko Pl & E 7 St,40.728145,-73.990214,Manhattan,East Village,MN22,1.0
310.0,State St & Smith St,40.68926942,-73.98912867,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,3.0
3042.0,Fulton St & Utica Ave,40.6794268,-73.9298911,Brooklyn,Crown Heights North,BK61,3.0
250.0,Lafayette St & Jersey St,40.72456089,-73.99565293,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
3158.0,W 63 St & Broadway,40.77163851,-73.98261428,Manhattan,Lincoln Square,MN14,1.0
453.0,W 22 St & 8 Ave,40.74475148,-73.99915362,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
3073.0,Division Ave & Hooper St,40.70691254,-73.95441667,Brooklyn,Williamsburg,BK72,3.0
3115.0,India St & Manhattan Ave,40.73232194,-73.9550858,Brooklyn,Greenpoint,BK76,3.0
3107.0,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,Brooklyn,North Side-South Side,BK73,3.0
3086.0,Graham Ave & Conselyea St,40.715143,-73.944507,Brooklyn,East Williamsburg,BK90,3.0
3070.0,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,Brooklyn,East Williamsburg,BK90,3.0
536.0,1 Ave & E 30 St,40.74144387,-73.97536082,Manhattan,Murray Hill-Kips Bay,MN20,1.0
450.0,W 49 St & 8 Ave,40.76227205,-73.98788205,Manhattan,Clinton,MN15,1.0
350.0,Clinton St & Grand St,40.71559509,-73.9870295,Manhattan,Lower East Side,MN28,1.0
3224.0,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,Manhattan,West Village,MN23,1.0
229.0,Great Jones St,40.72743423,-73.99379025,Manhattan,West Village,MN23,1.0
3155.0,Lexington Ave & E 63 St,40.76440023,-73.96648977,Manhattan,Upper East Side-Carnegie Hill,MN40,1.0
330.0,Reade St & Broadway,40.71450451,-74.00562789,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
319.0,Fulton St & Broadway,40.711066,-74.009447,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
334.0,W 20 St & 7 Ave,40.74238787,-73.99726235,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
3160.0,Central Park West & W 76 St,40.77896784,-73.97374737,Manhattan,park-cemetery-etc-Manhattan,MN99,1.0
3087.0,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,Brooklyn,East Williamsburg,BK90,3.0
3041.0,Kingston Ave & Herkimer St,40.67890679,-73.94142771,Brooklyn,Crown Heights North,BK61,3.0
3068.0,Humboldt St & Varet St,40.7031724,-73.940636,Brooklyn,Bushwick South,BK78,3.0
147.0,Greenwich St & Warren St,40.71542197,-74.01121978,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
3139.0,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,Manhattan,Upper East Side-Carnegie Hill,MN40,1.0
519.0,Pershing Square North,40.751873,-73.977706,Manhattan,Murray Hill-Kips Bay,MN20,1.0
459.0,W 20 St & 11 Ave,40.746745,-74.007756,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
394.0,E 9 St & Avenue C,40.72521311,-73.97768752,Manhattan,Lower East Side,MN28,1.0
265.0,Stanton St & Chrystie St,40.72229346,-73.99147535,Manhattan,Chinatown,MN27,1.0
399.0,Lafayette Ave & St James Pl,40.68851534,-73.9647628,Brooklyn,Clinton Hill,BK69,3.0
3049.0,Cambridge Pl & Gates Ave,40.68488,-73.96304,Brooklyn,Clinton Hill,BK69,3.0
120.0,Lexington Ave & Classon Ave,40.68676793,-73.95928168,Brooklyn,Bedford,BK75,3.0
3119.0,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,Queens,Hunters Point-Sunnyside-West Maspeth,QN31,4.0
3122.0,48 Ave & 5 St,40.74436328706688,-73.9558732509613,Queens,Hunters Point-Sunnyside-West Maspeth,QN31,4.0
384.0,Fulton St & Washington Ave,40.683048,-73.964915,Brooklyn,Clinton Hill,BK69,3.0
3043.0,Lewis Ave & Decatur St,40.6814598,-73.934903,Brooklyn,Stuyvesant Heights,BK35,3.0
3159.0,W 67 St & Broadway,40.77492513,-73.98266566,Manhattan,Lincoln Square,MN14,1.0
403.0,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan,East Village,MN22,1.0
420.0,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,Brooklyn,Clinton Hill,BK69,3.0
443.0,Bedford Ave & S 9 St,40.70853074,-73.96408963,Brooklyn,North Side-South Side,BK73,3.0
460.0,S 4 St & Wythe Ave,40.71285887,-73.96590294,Brooklyn,North Side-South Side,BK73,3.0
440.0,E 45 St & 3 Ave,40.75255434,-73.97282625,Manhattan,Turtle Bay-East Midtown,MN19,1.0
2022.0,E 60 St & York Ave,40.759107,-73.959223,Manhattan,Lenox Hill-Roosevelt Island,MN31,1.0
523.0,W 38 St & 8 Ave,40.75466591,-73.99138152,Manhattan,Midtown-Midtown South,MN17,1.0
3053.0,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,Brooklyn,Bedford,BK75,3.0
3054.0,Greene Ave & Throop Ave,40.6894932,-73.942061,Brooklyn,Stuyvesant Heights,BK35,3.0
354.0,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,Brooklyn,Clinton Hill,BK69,3.0
528.0,2 Ave & E 31 St,40.74290902,-73.97706058,Manhattan,Murray Hill-Kips Bay,MN20,1.0
3135.0,E 75 St & 3 Ave,40.77112927,-73.95772297,Manhattan,Lenox Hill-Roosevelt Island,MN31,1.0
3081.0,Graham Ave & Grand St,40.711863,-73.944024,Brooklyn,East Williamsburg,BK90,3.0
3058.0,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,Brooklyn,Stuyvesant Heights,BK35,3.0
471.0,Grand St & Havemeyer St,40.71286844,-73.95698119,Brooklyn,North Side-South Side,BK73,3.0
546.0,E 30 St & Park Ave S,40.74444921,-73.98303529,Manhattan,Murray Hill-Kips Bay,MN20,1.0
520.0,W 52 St & 5 Ave,40.75992262,-73.97648516,Manhattan,Midtown-Midtown South,MN17,1.0
356.0,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,Manhattan,Lower East Side,MN28,1.0
150.0,E 2 St & Avenue C,40.7208736,-73.98085795,Manhattan,Lower East Side,MN28,1.0
514.0,12 Ave & W 40 St,40.76087502,-74.00277668,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
3148.0,E 84 St & 1 Ave,40.77565541,-73.95068615,Manhattan,Yorkville,MN32,1.0
388.0,W 26 St & 10 Ave,40.749717753,-74.002950346,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
446.0,W 24 St & 7 Ave,40.74487634,-73.99529885,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
282.0,Kent Ave & S 11 St,40.70827295,-73.96834101,Brooklyn,North Side-South Side,BK73,3.0
502.0,Henry St & Grand St,40.714215,-73.981346,Manhattan,Lower East Side,MN28,1.0
3102.0,Driggs Ave & Lorimer St,40.72179134,-73.9504154,Brooklyn,North Side-South Side,BK73,3.0
3150.0,E 85 St & York Ave,40.77536905,-73.94803392,Manhattan,Yorkville,MN32,1.0
228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,Manhattan,Turtle Bay-East Midtown,MN19,1.0
530.0,11 Ave & W 59 St,40.771522,-73.990541,Manhattan,Lincoln Square,MN14,1.0
373.0,Willoughby Ave & Walworth St,40.69331716,-73.95381995,Brooklyn,Bedford,BK75,3.0
372.0,Franklin Ave & Myrtle Ave,40.694528,-73.958089,Brooklyn,Bedford,BK75,3.0
347.0,Greenwich St & W Houston St,40.728846,-74.008591,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
3234.0,E 40 St & Madison Ave,40.75159368451112,-73.98043155670166,Manhattan,Murray Hill-Kips Bay,MN20,1.0
3125.0,45 Rd & 11 St,40.74708586,-73.94977234,Queens,Hunters Point-Sunnyside-West Maspeth,QN31,4.0
487.0,E 20 St & FDR Drive,40.73314259,-73.97573881,Manhattan,Stuyvesant Town-Cooper Village,MN50,1.0
539.0,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,Brooklyn,North Side-South Side,BK73,3.0
427.0,Bus Slip & State St,40.701907,-74.013942,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
266.0,Avenue D & E 8 St,40.72368361,-73.97574813,Manhattan,Lower East Side,MN28,1.0
3146.0,E 81 St & 3 Ave,40.77573034,-73.9567526,Manhattan,Upper East Side-Carnegie Hill,MN40,1.0
3083.0,Bushwick Ave & Powers St,40.71247661,-73.94100005,Brooklyn,East Williamsburg,BK90,3.0
3080.0,S 4 St & Rodney St,40.70934,-73.95608,Brooklyn,North Side-South Side,BK73,3.0
3096.0,Union Ave & N 12 St,40.71924,-73.95242,Brooklyn,North Side-South Side,BK73,3.0
329.0,Greenwich St & N Moore St,40.72043411,-74.01020609,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
396.0,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,Brooklyn,Clinton Hill,BK69,3.0
224.0,Spruce St & Nassau St,40.71146364,-74.00552427,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
393.0,E 5 St & Avenue C,40.72299208,-73.97995466,Manhattan,Lower East Side,MN28,1.0
3076.0,Scholes St & Manhattan Ave,40.70870368,-73.9448625,Brooklyn,East Williamsburg,BK90,3.0
3082.0,Hope St & Union Ave,40.71167351,-73.95141312,Brooklyn,North Side-South Side,BK73,3.0
357.0,E 11 St & Broadway,40.73261787,-73.99158043,Manhattan,West Village,MN23,1.0
225.0,W 14 St & The High Line,40.74195138,-74.00803013,Manhattan,West Village,MN23,1.0
3071.0,Boerum St & Broadway,40.70538077,-73.94976519,Brooklyn,East Williamsburg,BK90,3.0
3072.0,Leonard St & Boerum St,40.70583339,-73.94644578,Brooklyn,East Williamsburg,BK90,3.0
3085.0,Roebling St & N 4 St,40.71469,-73.95739,Brooklyn,North Side-South Side,BK73,3.0
195.0,Liberty St & Broadway,40.70905623,-74.01043382,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
289.0,Monroe St & Classon Ave,40.6845683,-73.95881081,Brooklyn,Clinton Hill,BK69,3.0
2002.0,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,Brooklyn,North Side-South Side,BK73,3.0
437.0,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,Brooklyn,Bedford,BK75,3.0
456.0,E 53 St & Madison Ave,40.7597108,-73.97402311,Manhattan,Midtown-Midtown South,MN17,1.0
3145.0,E 84 St & Park Ave,40.77862688,-73.95772073,Manhattan,Upper East Side-Carnegie Hill,MN40,1.0
3110.0,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,Brooklyn,Greenpoint,BK76,3.0
365.0,Fulton St & Grand Ave,40.68223166,-73.9614583,Brooklyn,Clinton Hill,BK69,3.0
501.0,FDR Drive & E 35 St,40.744219,-73.97121214,Manhattan,Turtle Bay-East Midtown,MN19,1.0
339.0,Avenue D & E 12 St,40.72580614,-73.97422494,Manhattan,Lower East Side,MN28,1.0
328.0,Watts St & Greenwich St,40.72405549,-74.00965965,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
